food_name,energy_kcal,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg
Hot tea (Garam Chai),16.14,321.50,144.18,16.39,0.00,14.20,11.50,1.04,3.12,13.95,0.02,0.01
Instant coffee,23.16,451.17,202.33,23.00,0.00,20.87,18.19,3.63,4.92,44.50,0.06,0.01
Espreso coffee,51.54,1291.67,580.16,66.21,0.00,58.10,50.25,8.57,13.98,103.86,0.15,0.04
Iced tea,10.34,5.47,0.00,5.47,0.00,1.18,0.58,0.39,0.23,5.22,0.02,0.00
Raw mango drink (Aam panna),35.92,6.14,5.89,9.43,0.00,7.08,3.34,4.25,79.82,31.45,0.14,0.03
Fruit Punch (with fresh juices),36.12,6.21,1.30,10.08,0.00,5.07,10.24,3.20,2.63,33.43,0.10,0.01
Fruit Punch (with squashes),23.13,5.23,1.63,7.07,0.00,3.30,9.27,1.88,2.26,16.65,0.06,0.01
Lemonade,20.80,4.65,0.04,5.30,0.00,1.84,0.67,0.73,28.52,5.73,0.05,0.01
Lem-o-gin,21.52,9.41,1.47,13.20,0.00,2.20,1.59,1.86,28.13,14.17,0.09,0.01
Cumin infused water (Jeere/Zeere ka pani),9.09,14.50,40.04,33.53,0.00,10.84,4.47,5.28,189.60,32.15,0.32,0.02
Coco pine cooler,32.75,627.31,248.96,41.50,3.40,17.81,13.47,6.59,23.20,66.65,0.13,0.01
Summer cooler,22.43,10.71,1.87,16.85,0.00,8.13,11.46,7.62,1.57,93.06,0.28,0.01
Hot cocoa,90.10,2752.15,1257.17,139.48,0.00,113.66,101.41,16.05,24.20,132.15,0.31,0.09
Cold coffee with ice cream,67.85,1283.98,567.96,67.66,1.17,53.29,44.98,7.26,13.84,90.27,0.12,0.03
Banana milkshake (Kele milkshake),65.31,1423.07,634.17,87.19,0.00,62.64,52.77,7.92,13.61,102.43,0.13,0.03
Mango milkshake (Aam milkshake),56.90,1394.57,633.56,88.45,0.00,62.33,50.50,6.17,13.27,79.07,0.15,0.03
Pineapple milkshake (Ananas milkshake),55.72,1336.79,599.51,68.15,0.00,59.92,47.88,5.14,14.05,65.68,0.11,0.02
Orange milkshake (Narangi milkshake),57.42,1525.07,683.94,77.75,0.00,67.42,55.47,5.30,14.63,73.43,0.11,0.02
Egg nog,97.14,2633.51,1536.21,299.55,60.30,102.13,107.24,8.99,40.65,115.14,0.43,0.04
Sweet Lassi (Meethi lassi),35.66,431.64,178.53,22.60,2.49,45.65,38.46,4.38,18.31,63.50,0.03,0.01
Lassi (salted),18.84,451.64,191.60,26.17,2.60,47.78,40.39,4.84,65.40,67.37,0.04,0.00
Cheese and chilli sandwich ,218.11,5276.39,2277.00,351.37,23.05,113.79,89.98,18.86,437.50,142.31,0.99,0.10
Egg sandwich (Ande ka sandwich),285.96,8437.21,4047.35,733.87,121.63,110.13,107.32,18.88,461.67,129.59,1.44,0.11
Cucumber sandwich (Kheere ka sandwich),188.60,4322.51,1808.72,287.53,17.53,87.84,62.30,21.60,362.64,154.06,1.02,0.09
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,7259.18,3109.01,440.30,34.35,199.73,195.37,21.52,571.96,143.39,1.04,0.10
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,6949.08,2976.77,438.74,32.88,191.20,187.97,20.97,549.71,148.52,1.00,0.09
Chicken sandwich,253.27,4795.68,2264.61,412.47,42.06,89.56,121.57,21.59,389.67,196.08,1.19,0.19
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,5981.63,5583.70,2667.60,17.53,94.03,134.27,56.19,364.99,252.82,1.58,0.28
Rainbow sandwich,272.75,7021.96,2934.21,411.22,31.16,172.04,149.85,20.43,612.49,143.97,1.20,0.10
Club sandwich ,235.32,6110.90,5725.71,1625.38,31.26,115.68,128.02,18.60,461.66,169.00,0.86,0.08
Vegetarian club sandwich,198.33,4721.69,3935.81,1208.38,23.13,122.44,120.49,18.65,305.36,159.77,0.77,0.07
Pin wheel sandwich,311.52,2856.30,13907.46,5907.96,179.52,67.75,111.59,13.69,374.39,110.30,1.36,0.08
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,5161.20,2211.03,628.98,21.05,118.05,97.76,31.49,302.88,228.82,1.80,0.14
Salami sandwich,255.59,6875.04,5531.68,1238.08,33.35,73.54,88.61,20.81,662.75,194.06,1.11,0.10
Vegetable and mayonnaise sandwich,244.26,4467.60,6614.60,2487.48,21.87,79.53,55.55,16.70,342.70,143.10,0.91,0.09
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,5164.06,2761.66,611.98,95.63,95.71,95.47,18.11,423.26,150.47,1.30,0.10
Sweet open sandwich,244.25,4453.81,1778.49,289.97,18.05,85.18,60.50,22.74,205.27,230.97,1.15,0.13
Mushroom and cheese sandwich (toasted),227.42,7548.33,3185.63,525.33,35.12,172.35,196.85,21.16,456.57,198.37,0.84,0.09
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,7543.30,3193.44,477.81,35.12,169.22,173.20,19.04,457.94,148.53,0.82,0.08
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.90,576.47,962.91,2954.18,0.00,64.15,61.80,26.66,262.63,342.73,1.11,0.12
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,4540.44,2891.99,3093.70,0.00,274.10,190.78,27.81,268.90,127.84,1.26,0.13
Chicken sandwich (toasted),167.37,1141.78,725.92,213.09,26.57,99.99,147.95,20.67,327.55,203.56,0.99,0.17
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,2222.37,1918.95,274.92,27.29,70.79,115.55,26.19,290.07,234.35,1.51,0.13
Classic club sandwich,200.83,4632.53,4002.40,1496.11,62.87,107.73,127.98,20.02,277.49,167.57,1.09,0.08
Sesame toast,495.19,5926.63,10168.23,30988.81,0.00,43.44,36.67,15.34,128.78,172.98,0.72,0.07
